Company Name,Year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Status
C_18,2014,0.22,0,32.84,0,0.2,0.38,0.2,0.21,0.05,0.01,-0.37,0
C_19,2014,1.31,0.09,1.22,1.69,1.26,4.77,1,-0.05,1.09,0,0.25,1
C_20,2014,2.11,0.65,5.79,1.24,1.66,15.45,0.27,-0.05,0.07,0.02,-0.31,1
C_21,2014,0.38,0.4,9.21,4.38,0.3,1.1,0.32,0.01,0.23,-0.01,0.09,0
C_22,2014,3.5,0.41,45.65,0.78,3.42,0,-0.06,-0.02,0.05,-0.26,0.65,1
C_23,2014,1.19,0.67,1.54,1.87,0.82,5.01,0.57,0.03,0.07,0.06,0.21,1
C_24,2014,0.19,0.25,6.83,2.66,0.13,-3.51,-0.3,0.15,-0.05,1.36,0.04,0
C_25,2014,1.95,0.86,2.06,3.5,1.61,0,0.81,0.01,0.25,0.1,0.66,1
C_26,2014,1.6,0.31,2.8,3.25,1.01,1.38,0.33,0.02,0.16,-0.11,0.16,1
C_27,2014,7.61,0.7,1.37,3.73,4.32,1859.6,0.48,-0.1,2.41,0.03,0.81,1
C_28,2014,1.08,1.39,73.36,17.06,1.04,600.09,0.51,-0.13,2.15,-0.06,0.84,1
C_29,2014,0.93,0.75,0,0,0,-5.95,0.17,0.16,-0.24,0.27,-0.03,0
C_30,2014,5.76,0.27,4.33,3.78,4.25,44.77,0.24,0.02,0.9,0.2,0.82,1
C_31,2014,0.91,1.06,3.64,3.08,0.75,3.33,0.75,-0.05,0.13,-0.04,0.27,0
C_32,2014,1.77,2.79,9.04,9.89,1.13,24.36,0.06,-0.03,0.77,0.03,0.28,1
C_33,2014,0.43,0.38,3.14,4.82,0.34,3.07,0.77,-0.01,0.11,-0.03,0.14,0
C_34,2014,0.5,0.4,4.95,1.53,0.39,-0.29,0.04,0.15,0.06,0.44,-0.07,0
C_35,2014,0.57,2.31,9.52,57.86,0.18,-3.44,0.17,-0.19,0.17,-0.01,0.03,0
C_36,2014,2.14,1.98,0,0,0,14.03,1,0.03,-0.08,-0.02,0.33,1
C_37,2014,4.04,0.38,4.22,2.36,2.88,-32.4,0.08,0.15,1.58,0.19,0.53,1
C_38,2014,2.07,0.98,111.57,1.96,2.06,45.69,0.33,-0.05,0.19,0.02,-0.06,1
C_1,2015,1.5,1.21,9.24,7.38,1.23,0,0.49,-0.34,0.5,-0.44,0.33,1
C_2,2015,0.95,0.5,3.67,5.92,0.6,5.15,0.24,-0.09,0.3,-0.2,0.24,0
C_3,2015,1.72,0.82,4.26,10.88,0.99,24.24,0.28,-0.14,0.61,0.06,0.44,1
C_4,2015,1.95,0.43,3.18,2.87,1.73,30.88,0.53,0,0.41,0.11,0.62,1
C_5,2015,1.32,1.03,1.84,6.68,0.45,11.7,0.43,0.04,0.72,0.06,0.27,1
C_6,2015,1.03,1.02,2.52,5.68,0.39,0.39,0.15,0.05,0.04,0.01,0.24,1
C_7,2015,9.43,0.23,4.54,3.95,9.1,0,0.73,-0.02,2.71,-0.22,0.8,1
C_8,2015,1.19,1.35,2.69,3.25,0.7,2.9,0.38,-0.14,-0.05,0,0.28,1
C_9,2015,8.77,0.09,0,0,0,0,-0.35,0.02,-0.02,0.68,0.16,1
C_10,2015,0.44,0.32,3.69,1.96,0.3,-0.48,0.16,0.07,0,0.56,-0.04,0
C_11,2015,0.83,1.07,5.35,7.32,0.53,4.5,0.44,-0.06,0.53,-0.04,0.09,0
C_12,2015,0.24,0.16,4.15,8.96,0.09,-7.02,-0.02,-0.27,-0.07,0.34,0.81,0
C_13,2015,2.69,0.37,1.46,2.71,1.84,-19.88,0.26,0.4,-1.18,0.63,0.3,1
C_14,2015,1.13,0.27,8.61,1.58,0.92,-4.09,0.22,0.08,-0.86,0.4,-0.42,1
C_15,2015,0.79,0.06,0.07,3.63,0.02,-2.19,0.13,-0.12,0.01,-0.15,-0.23,0
C_16,2015,3.9,0.52,4.61,10.09,3.35,487.01,0.45,-0.12,1.5,-0.04,0.83,1
C_17,2015,2.92,0.63,6.07,2.32,2.44,308.83,0.3,-0.18,0.08,-0.05,0.67,1
C_18,2015,0.38,0.7,41.75,6.87,0.35,0.47,0.26,-0.04,0,0.01,0,0
C_19,2015,1.5,0.09,1.5,1.8,1.45,4.08,1,-0.01,0.69,-0.04,0.23,1
C_20,2015,1.71,0.75,31.17,1.39,1.64,15.23,0.18,-0.18,0.11,-0.12,-0.47,1
C_21,2015,0.47,0.4,8.68,3.58,0.38,1.77,0.36,-0.03,0.27,-0.08,0.1,0
C_22,2015,3.56,0.3,57.35,0.61,3.52,0,-0.39,0.08,0.3,0.29,0.58,1
C_23,2015,1.21,0.8,1.76,2.15,0.89,4.57,0.54,-0.23,0.38,-0.14,0.24,1
C_24,2015,0.41,0.51,6.18,4.19,0.29,0,0.06,0.16,0.08,-0.09,0.17,0
C_25,2015,2.02,0.9,2.1,4.38,1.81,0,0.82,0.08,0.65,0.07,0.63,1
C_26,2015,1.74,0.28,2.43,2.8,1.22,1.34,0.3,-0.01,0.15,0.13,0.16,1
C_27,2015,14.2,0.8,1.62,3.62,6.84,8398.61,0.51,-0.09,8.41,0.16,0.84,1
C_28,2015,0.63,1.42,80.98,16.87,0.59,121.36,0.5,-0.03,2.1,-0.09,0.74,0
C_29,2015,1.55,0.84,1.73,3.27,0.88,1.93,0.3,0.11,0.51,0.1,0.19,1
C_30,2015,4.24,0.32,7.12,5.57,3.48,26.57,0.24,-0.01,-0.18,-0.15,0.82,1
C_31,2015,0.85,1.05,5.99,2.78,0.71,-0.64,0.7,-0.01,0.3,0.03,0.26,0
C_32,2015,1.73,3,8.52,10.65,0.92,58.49,0.06,-0.05,0.04,-0.2,0.26,1
C_33,2015,1.08,0.37,3.07,4.8,0.88,2.85,0.76,-0.04,0.26,0.01,0.14,1
C_34,2015,0.63,0.57,5.35,1.86,0.49,-0.85,0.15,-0.11,-0.08,-0.13,-0.05,0
C_35,2015,0.7,2.73,0,0,0.22,1.37,0.19,-0.11,0.14,-0.03,0.32,0
C_36,2015,1.64,2.01,7.08,8.28,1.06,2.62,0.11,-0.1,0.4,0.01,0.28,1
C_37,2015,2.99,0.45,4.6,2.16,2.46,56.71,0.33,-0.12,0.25,-0.14,0.65,1
C_38,2015,2.28,1.04,113.96,1.96,2.26,238.17,0.29,-0.02,0.03,0.15,0.04,1
C_1,2016,4.02,1.41,14.7,7.55,3.81,54.52,0.51,-0.78,0.41,-0.34,0.61,1
C_2,2016,1.22,0.48,0,0,0.71,4.45,0.28,-0.24,0.06,-0.28,0.26,1
C_3,2016,2.7,0.92,3.84,13.79,1.8,0,0.35,0.03,0.56,0.03,0.46,1
C_4,2016,2.26,0.47,3.45,2.87,2,171.88,0.51,0.04,0.3,0.1,0.62,1
C_5,2016,1.41,1.07,1.7,7.62,0.47,20.16,0.45,0.01,0.81,0.12,0.32,1
C_6,2016,1.01,1.04,2.44,5.02,0.37,0.97,0.16,-0.07,-0.11,0.02,0.25,1
C_7,2016,6.8,0.18,4.74,3.04,6.44,0,0.67,-0.07,2.26,0.41,0.81,1
C_8,2016,1.16,1.53,2.82,4.03,0.7,2.88,0.4,-0.1,0.1,-0.08,0.27,1
C_9,2016,12.83,0.17,0,0,0,0,0.52,-0.18,0.01,-0.1,0.27,1
C_10,2016,0.6,0,0,0,0.44,-1.09,0.15,-0.14,0.11,0.2,0.04,0
C_11,2016,1.01,1.06,5.01,6.3,0.67,4.76,0.44,-0.01,0.63,-0.08,0.18,1
C_12,2016,0.31,0.25,4.68,12.93,0.11,-2.37,0.11,0.02,-0.09,0.28,0.51,0
C_13,2016,0.45,0.46,1.64,3.73,0.18,-1.79,0.23,0.23,-0.18,1.03,-0.29,0
C_14,2016,0.59,0.36,0,2.14,0.57,-4.49,0.18,0.01,-0.67,1.24,-0.31,0
C_15,2016,0.81,0.06,0.05,2.98,0.03,-0.64,0.28,-0.02,0,0.17,-0.18,0
C_16,2016,4.92,0.57,5.37,10.38,4.11,499.71,0.48,-0.12,1.68,-0.06,0.84,1
C_17,2016,3.46,0.65,5.74,2.93,2.82,-337.18,0.03,0.06,0.72,-0.09,0.56,1
C_18,2016,0.4,0.68,48.21,7.18,0.38,0.18,0.21,0.15,0.09,-0.05,-0.23,0
C_19,2016,1.48,0.09,1.6,2.29,1.42,3.77,1,-0.03,0.46,0.06,0.21,1
C_20,2016,2.02,0.77,42.13,1.65,1.97,14.28,0.12,-0.12,-0.08,-0.06,-0.61,1
C_21,2016,0.69,0.39,7.48,3.39,0.57,2.36,0.33,-0.08,0.35,-0.1,0.11,0
C_22,2016,5.17,0.35,97.67,0.72,5.07,0,-0.34,0.11,0.44,0.18,0.58,1
C_23,2016,1.37,0.78,1.48,1.84,0.88,3.95,0.52,0,0.27,0.04,0.18,1
C_24,2016,0.84,0.44,0,0,0.52,0,0.13,0,0.11,0.3,0.26,0
C_25,2016,2.07,0.91,1.88,3.74,1.72,967.57,0.82,0.04,0.79,0.09,0.65,1
C_26,2016,1.63,0.32,2.31,2.98,0.97,3.51,0.38,-0.02,0.11,0.02,0.16,1
C_27,2016,11.55,0.9,2.18,5.07,7.6,83150.3,0.63,0.17,1.47,-0.13,0.69,1
C_28,2016,0.46,1.33,89.3,13.19,0.44,79.59,0.54,-0.02,1.45,-0.08,0.65,0
C_29,2016,1.58,0.82,1.56,3.9,0.61,-19.3,0.2,0.14,-0.39,0.17,0.16,1
C_30,2016,4.88,0.24,7.36,7.27,4.24,255.8,0.27,0.22,0.95,-0.22,0.67,1
C_31,2016,1.17,1.1,8.95,2.88,1.08,2.13,0.72,-0.01,0.29,-0.07,0.33,1
C_32,2016,1.65,2.53,7.47,8.67,0.86,142.37,0.07,-0.05,0.24,0.35,0.22,1
C_33,2016,1.63,0.4,3.57,4.74,1.4,2.64,0.74,-0.06,0.29,-0.04,0.15,1
C_34,2016,1.59,0.47,4.91,1.58,1.23,-0.49,0.19,0.22,-0.13,0.15,0.05,1
C_35,2016,0.72,3.11,0,0,0,17.08,0.23,-0.19,0.25,-0.22,0.33,0
C_36,2016,2.3,2.21,7.35,9.35,1.29,11.86,0.12,-0.06,0.26,-0.05,0.29,1
